,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained
attention.output.dense,-0.8613662746961634,-0.5457265875532247,-0.7474212586143802,0.2981161460999029,0.24694293570773665,-0.18620864918175425,0.08654032505542132,-0.6893404470902535,-0.545366431158739,0.11138914278755273,-0.6799265283190378,-0.5891066974525839,-0.563292586548456,0.7412698093799365
attention.self.key,0.09820311840447887,0.18604599843382658,0.2754377538747801,0.12880538329893956,0.0840624888153585,0.16318585741811426,0.027113636152357408,0.3100106647268469,0.18610349731555476,0.19847455934485428,0.19342810638153954,-0.29372156003329664,0.24619284835789532,-0.27157020161977075
attention.self.query,-0.2111531874172306,0.4110002895140343,0.22461983392402057,0.4282718691253961,0.28213770625790974,0.4193076712695241,-0.12874997679274128,0.30733566163210835,0.4113392247677126,0.4079721599840913,0.4156456438455247,0.14297092688289714,0.3948399257134188,-0.23375613996925793
attention.self.value,0.5309542117864856,0.34340176843312453,0.7823262216217755,-0.32680256690372145,-0.16341912233715145,-0.004321916258789055,0.05130588729798995,0.710558048073254,0.3431509736863196,-0.12961682730921495,0.44884958652275164,-0.2056096014704225,0.5421435821942485,-0.7791259786943328
intermediate.dense.weight,-0.36462503406678715,0.34111716070924336,-0.1362294357329037,0.3578126997812592,0.2637154041498803,0.34870032866422973,-0.18831304638059465,-0.2800992657955556,0.34138340328265954,0.40623504445720066,0.3200614614235309,-0.1295683441598574,-0.34178397519738485,0.1387187197049995
output.dense.weight,0.3567782621062427,-0.4966218643778786,0.2926966772522002,-0.5335631572843191,0.2515966553712119,-0.5076051699235208,0.31510080020697073,0.09431273683525795,-0.4966722787862774,-0.5388814202427201,-0.46895631186790326,0.2449447948015428,-0.09946441323361667,-0.2918192309999026
attention.dense.weight,-0.49252901381777203,-0.6553917402088113,-0.360376168571741,0.21370498367876187,0.34812528033740414,0.1938875367215358,0.3878932662255283,0.054038307581958774,0.1527566606206568,0.16407374415032142,0.16379028829754985,-0.3239208457985637,0.2051705129648921,0.030837145617717887
attention.query_key_value.weight,-0.19286327681819493,0.3121500852367461,-0.0715175218007025,-0.03509483734782712,-0.1762232167543422,0.11393817737785757,-0.1332778271364222,0.0915079895026816,0.20662121569494932,0.15051286952318516,0.2353625480826566,0.19249519049570782,0.02087293383140834,-0.19731419502601702
mlp.dense_4h_to_h.weight,-0.37974951952329933,-0.017478146462107817,0.9096841443253605,-0.19171637607780023,-0.4202925679165893,-0.1107890065486654,-0.570575999277472,0.8820257894696,-0.01790945392407773,-0.24626293466934643,0.018801518875992667,-0.05308066793459544,0.8986102224573755,-0.919939674164099
mlp.dense_h_to_4h.weight,-0.7070218094850858,0.6828865203746286,0.8378155452430847,0.2743277566319888,0.08257009351383389,0.5991629241036535,0.176346219357926,0.8364137163956813,0.8410433173438282,0.04532986495000724,0.8373349412525808,0.8667958821225387,0.3575483804252954,-0.9315419067278097
attention.dense.weight,0.37186888898274834,-0.15852544192097298,-0.07966285702980848,-0.15980379403357003,0.6773783309346926,-0.1716148849773526,-0.09254538413321231,-0.06495906192643551,-0.15857092042137635,-0.15760978497151532,-0.1594699217454686,-0.1704033469678245,-0.04111742290389944,0.08951944787323791
attention.query_key_value.weight,0.5702140141170413,0.7298579033692759,-0.5923048575822868,,,,,,,,,,,
mlp.dense_4h_to_h.weight,-0.4491769648036801,-0.19560826822398164,0.7226890899922975,,,,,,,,,,,
mlp.dense_h_to_4h.weight,0.7385342564058672,0.45216518928547467,0.06682788745654095,,,,,,,,,,,
