,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained,lnum_over_spectral,edited_frobenius_norm,edited_spectral_norm,edited_nuclear_norm,edited_condition_number,edited_cut_off_sv,edited_shannon_entropy
attention.output.dense,-0.35830620991234274,0.14387355315544031,-0.4669414083544765,,,,,,,,,,,,,0.6566693747880326,-0.09122567914137121,0.6688595752297885,0.36807319860002086,-0.26955278034770225,-0.18453856029297763
attention.self.key,-0.17295727033259276,0.5588741470992492,0.047494526409685045,0.5463399310093349,0.354141037461157,0.561538683137862,-0.03015607821056996,-0.009451534398989672,0.5588987588357136,0.6264712792859591,0.5353734581246242,0.5146565639594394,-0.09413364387640202,-0.04807719683611411,-0.17370974458969105,0.533201941025162,0.3541416253132114,0.577183018734234,0.2947646641816261,-0.2696834362475659,0.1518534302307514
attention.self.query,-0.5910186591972457,0.6925906182033404,0.5282804186587864,0.6930644771523959,0.04593376795406904,0.6933119914133554,0.24621478200001093,0.5763828221552081,0.6925163677351818,0.6472279031426078,0.7014942081721579,0.46549905441303646,0.5668265959324056,-0.5370214877875775,-0.5867312673363261,0.6880140059051983,0.04593293026405577,0.6684283071962458,0.37059922803576373,-0.2255443936797843,-0.03762756604486878
attention.self.value,0.1095732837423279,0.07453838554034685,-0.07304262865987249,0.1621906207290311,0.11584358426646929,0.11674817953112523,-0.2600809055715473,-0.13332099253588098,0.07442395563853234,0.18598043216944524,0.019844424521135745,0.18839420160348425,-0.21991986184923362,0.07676317454714131,0.08998952186843326,0.16794259609413187,0.1158429799442595,0.17196808920821097,0.06887345821615204,0.05063219392689271,0.0806469269838834
intermediate.dense.weight,0.5207190019099966,-0.435128654082666,0.0846478479418597,-0.440182066057421,-0.13429115004882353,-0.4548436245686129,0.9135059930361953,-0.21783925216456204,-0.43507139755235313,-0.37948664993406184,-0.46382101488284727,-0.1526327302869096,-0.5705779977932077,-0.08106883483891736,0.5478269054753926,-0.42707341192767995,-0.13429141309685697,-0.42315540888834463,-0.4902691842840493,0.5734270261014602,0.07853578819766555
output.dense.weight,0.5140156579299434,-0.03430100881339461,-0.0697497699585199,,,,,,,,,,,,,0.003469371201808999,0.3333266421565495,0.006913863701686479,0.43986666466714497,-0.15228737386770216,0.1341499281112547
attention.dense.weight,0.4045671497997241,-0.31151698357562635,0.08105764498291618,0.18886542318838395,-0.10429716202853627,0.1883850343060181,0.061157177927581255,0.03821568055959751,0.18760707174882973,0.18028563805558878,0.17134098374831935,-0.29271727454035174,-0.17906679226318423,-0.09841476653230297,0.41389910009621256,0.17427598628114394,-0.10429717951484029,0.18410986854169203,0.3468785071785967,-0.21128454901711427,0.1426101360458828
attention.query_key_value.weight,0.7411103716815166,0.028796892482657252,-0.9073631049863925,-0.778154949913829,-0.20942376497311374,-0.8078169022284847,-0.33096509857142103,-0.7338463421222589,-0.8138839730363903,-0.769639991741508,-0.8175693160615249,-0.7910706873844002,-0.7206764750991169,0.6932991210042101,0.7635737047273342,-0.5921639868746238,-0.20942448069832958,-0.633264861008069,-0.11138437215583469,0.06968470971590163,-0.2915055186796979
mlp.dense_4h_to_h.weight,0.15093651773598785,0.3761248939057441,0.3351374041627541,-0.420064160910998,0.04462265188972342,-0.3890146297282097,0.008693394242094699,0.2337846330124957,-0.29260159686063575,-0.2912159945614222,-0.2364680850143199,0.07567669445180099,0.24097521809364003,-0.16004343686529496,0.17578772999462608,-0.3189968605883426,0.044622198522358034,-0.3103228734646281,0.19449077905236062,-0.22366741850797794,0.29361597950877755
mlp.dense_h_to_4h.weight,0.5009214804886905,-0.455762288412194,-0.3263346155747854,,,,,,,,,,,,,-0.1873273214943625,-0.1490075466521425,-0.14884521253040311,0.2453242894814912,-0.1209109717391138,0.20280401373220852
attention.dense.weight,-0.1029694489223828,0.11110951998273783,-0.2426413932764198,0.26463785681220126,-0.2577752489996697,0.1806044520922599,-0.21397935487547398,-0.3820306399578071,0.1111277342795213,0.22245226990062295,0.06246240822708868,-0.1519344344316914,-0.6069891347032739,0.26405681773081424,-0.13478291670842796,0.36566145916456627,-0.25777536402177337,0.3551901176630301,0.21471036184386058,-0.10377387340617593,0.12160922921380661
attention.query_key_value.weight,-0.27830201439293684,0.2024752160993061,0.022389955572398042,-0.016163155004344624,-0.010624188064392307,0.011871479507434217,-0.020795238585816146,0.0738252987403098,0.20242880951151548,0.05080331755357528,0.26237506907542074,0.10249062980944709,0.30352851923570945,-0.02558532629253201,-0.3101701688216213,-0.02276124366228961,-0.010624195328035192,-0.07982338733368369,0.09539268144575938,-0.1259044316729683,-0.013176524090143513
mlp.dense_4h_to_h.weight,,,,,,,,,,,,,,,,,,,,,
mlp.dense_h_to_4h.weight,,,,,,,,,,,,,,,,,,,,,
