,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained
,,,,,,,,,,,,,,
attention.self.key,-0.41208812,0.802297127,-0.247530092,0.818527535,0.723976363,0.799058692,-0.192164814,-0.114846976,0.80233801,0.854115762,0.774652052,-0.104588945,0.035966551,0.249964355
attention.self.query,0.014967715,0.352876092,-0.064047919,0.394286497,-0.177805982,0.368797003,0.325261534,-0.047844016,0.352889563,0.394248077,0.340149929,-0.011442374,-0.0039295,0.056522898
attention.self.value,0.130896889,0.512777764,-0.089403827,0.584476513,0.039354892,0.50637329,-0.106807939,-0.301167982,0.512520785,0.620867848,0.371765055,0.450880442,-0.411530526,0.096420432
intermediate.dense.weight,0.439376235,-0.384470433,-0.025880837,-0.375800138,0.194618395,-0.390386705,0.169135731,0.180396947,-0.384571657,-0.426735581,-0.377658582,-0.089177351,0.237838925,0.031662202
output.dense.weight,0.484923579,-0.464052243,0.015688586,-0.440135234,0.364432325,-0.492563426,0.496438728,-0.52018649,-0.463974584,-0.335796194,-0.51783168,0.294781186,-0.668151158,-0.012922488
,,,,,,,,,,,,,,
attention.query_key_value.weight,0.236333647,-0.279053086,-0.286777099,-0.090580285,0.006187923,-0.215637754,0.021779887,-0.12953395,-0.278932978,-0.192532149,-0.303549509,-0.725808847,0.098455668,0.331383912
mlp.dense_4h_to_h.weight,0.669870023,0.554826309,-0.441544663,0.611771446,0.643774102,0.573295823,0.270547973,-0.40581754,0.555023685,0.688339301,0.529296015,0.570429846,-0.405415202,0.451919524
mlp.dense_h_to_4h.weight,0.264304092,0.078555427,-0.174087967,0.219880844,-0.031242193,0.203570796,-0.00109749,0.000266785,0.079258653,0.078742425,0.101552748,-0.288021876,0.19563753,0.171747281
,,,,,,,,,,,,,,
attention.query_key_value.weight,-0.570835165,0.12966321,0.374173814,,,,,,,,,,,
mlp.dense_4h_to_h.weight,,,,,,,,,,,,,,
mlp.dense_h_to_4h.weight,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
attention.output.dense,-0.300710262,0.545324495,-0.346456972,0.714879374,-0.25782379,0.541874268,0.464183556,-0.566224164,0.545137231,0.737041533,0.186604082,-0.515757759,-0.663586734,0.359731973
attention.dense.weight,-0.318918101,0.839573587,0.480395424,0.807138632,0.331273807,0.836959242,0.229504441,0.361126409,0.839578986,0.779248247,0.845868775,-0.190053856,0.211100651,-0.462667626
attention.dense.weight,0.234693813,0.370935377,0.20752292,0.386377819,-0.379405175,0.365129701,-0.460127832,-0.006304545,0.370927515,0.428850581,0.340519561,-0.035189403,-0.251411958,-0.200376229
,-0.38493455,1.75583346,0.341461371,1.908395825,-0.305955159,1.743963212,0.233560165,-0.211402301,1.755643732,1.945140362,1.372992418,-0.741001018,-0.703898041,-0.303311883
