,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained
attention.output.dense,0.085569789,0.502405381,0.021426712,0.000379801,0.671608488,0.019461375,0.032805287,0.006374037,0.502415731,0.000933152,0.621021447,0.896587517,0.002074507,0.019051535
attention.self.key,0.611060833,0.073901158,0.889713307,0.082053473,0.28528146,0.072240983,0.929864772,0.977997128,0.073885707,0.039170444,0.089658466,0.105263094,0.783087876,0.888367539
attention.self.query,0.055518891,0.018164105,0.094816919,0.018052251,0.893319399,0.017994021,0.465499333,0.063449022,0.018181677,0.03134095,0.016143782,0.149049623,0.069020764,0.088487031
attention.self.value,0.734617333,0.817917789,0.821519231,0.614531335,0.719955963,0.717847822,0.414279774,0.679557657,0.818193198,0.562775158,0.951189745,0.557624834,0.492207041,0.812566995
intermediate.dense.weight,0.100526545,0.181040867,0.804560716,0.175450914,0.693831931,0.159836815,8.50E-05,0.519920856,0.181104816,0.249698126,0.150717281,0.654130224,0.066795762,0.812694862
output.dense.weight,0.087345227,0.915719643,0.829458754,0.967687996,0.289699059,0.891234876,0.962263425,0.489663666,0.915761009,0.784819107,0.815237142,0.708001286,0.434455078,0.835028544
attention.dense.weight,0.192070162,0.324299317,0.802259417,0.198148114,0.256106785,0.376309152,0.941060095,0.014655107,0.595126647,0.269105765,0.739172269,0.731613928,0.00377242,0.042733733
attention.query_key_value.weight,0.005816209,0.929210946,4.59E-05,0.0002718,0.000430655,0.025748735,0.000166672,5.48E-05,0.306813961,0.094516289,0.420486286,0.011547689,0.003942068,0.004201111
mlp.dense_4h_to_h.weight,0.639608761,0.228202886,0.28692743,0.343896842,0.996706704,0.275614592,0.291809738,0.257377091,0.228284021,0.306878152,0.219353555,0.058465736,0.443042679,0.312179106
mlp.dense_h_to_4h.weight,0.09713886,0.136474703,0.300556775,0.799984086,0.333572379,0.583488952,0.356666146,0.150996789,0.41177738,0.212340712,0.325273645,0.645397785,0.077571374,0.362162784
attention.dense.weight,0.632086493,0.605246611,0.253282427,0.211419649,0.223945448,0.398377951,0.315373555,0.065440163,0.60518709,0.296126725,0.771854785,0.478498272,0.001660096,0.212461523
attention.query_key_value.weight,0.1879034,0.3426982,0.917292324,,,,,,,,,,,
mlp.dense_4h_to_h.weight,,,,,,,,,,,,,,
mlp.dense_h_to_4h.weight,,,,,,,,,,,,,,
