,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained
attention.output.dense,-0.47097933428230243,0.03290475033699573,-0.5499917132472896,0.6527601592986789,-0.021435678561235717,0.3970576861548857,0.4422328563712929,-0.600746615312153,0.03299690353656358,0.5828294970905687,-0.21256931109642352,-0.13817191303042695,-0.6253049012126867,0.5563555910632365
attention.self.key,-0.14795800496956887,0.6179732915963263,-0.02280670356525341,0.6191874039041045,0.4234968107320709,0.6289052488651817,-0.0728968121858129,-0.04835174318718631,0.6179937186525701,0.6936995264647672,0.5929426289732485,0.5418880530619182,-0.07650206379630956,0.022610814778579173
attention.self.query,-0.4475215984451773,0.6687058869631506,0.3937319509954752,0.6929715218489081,-0.08974515469609239,0.684580083423058,0.19762547195831726,0.44794714988128287,0.6687046457892393,0.6440600726809439,0.6740752406151184,0.527034512985837,0.4872448441957093,-0.40446054003895804
attention.self.value,0.07932449781377218,0.04976833793393882,-0.10997634477982876,0.16820944248575923,0.12631813816749046,0.10673275486800321,-0.2764002468256179,-0.1663711532459291,0.049676173364796836,0.18271486560713363,-0.00912096103511429,0.1955806754112749,-0.24451541160675525,0.11363401167281797
intermediate.dense.weight,0.5120768175128283,-0.4663290013523431,0.04450430234788086,-0.4616909751506871,-0.16779951838926616,-0.480617411321736,0.9539795515450061,-0.2590477695369625,-0.4662764757246963,-0.4087882135212612,-0.495704404870979,-0.16114417422353833,-0.5837569376915048,-0.04091755155468661
output.dense.weight,0.41730820209026853,0.07182386230579371,-0.09912363370259589,0.09074989307480813,0.23414323502059836,0.06539693167714586,-0.12928183911372126,-0.15063765288620845,0.07183989312033251,0.17666005843132898,0.03631458954205616,0.0937783002333046,-0.12310811310722908,0.09646137760771992
attention.dense.weight,0.3759307077754551,-0.3569400643427279,0.06875141380925426,-0.42356065540021287,-0.37925026663818,-0.30587158526223857,-0.04695179524229782,0.6798546663672436,-0.1979863674892166,-0.3719872265964983,-0.13304128527703105,-0.1239603453892541,0.7895673072052067,-0.5808113348686802
attention.query_key_value.weight,0.7276280499784435,0.05384518729619643,-0.904076180889034,0.8645348995569011,0.843041744097393,0.6465402819746012,0.8700703261341667,-0.8924257358833593,0.33991454336462074,0.514980397012311,0.27619856792254316,-0.6680693559999762,-0.764094407338553,0.7391794940969335
mlp.dense_4h_to_h.weight,-0.41205395349468527,-0.128803330208341,0.44558767240678065,-0.2365171361470667,-0.5327872338069312,-0.17994449054469538,-0.4219683070948083,0.42723649297553207,-0.12893122940245338,-0.21436602513809783,-0.1145281930045863,0.23511180636880158,0.2674492751933838,-0.43487440781343845
mlp.dense_h_to_4h.weight,0.4434993930900436,-0.39290218614895833,-0.2909068770870512,-0.028566068818372467,-0.27817532420006763,-0.12086277631310821,-0.2525179644998313,-0.42342389851329115,-0.2095692652438357,0.42977716151636886,-0.26093427325953833,-0.13443823249572465,-0.5180195229508806,0.26556624573100424
attention.dense.weight,-0.37013805425986956,0.0841124145402142,-0.30888660344094504,0.2565400438352946,-0.3559035815030557,0.1648457835062222,-0.10032128067655759,-0.44699707928213156,0.08417927492816574,0.20706553416563084,0.03397429695972215,-0.15197337789398896,-0.6345146515142971,0.32668608482377204
attention.query_key_value.weight,-0.4192262551865943,-0.01764792831332851,0.21078816945049444,,,,,,,,,,,
mlp.dense_4h_to_h.weight,,,,,,,,,,,,,,
mlp.dense_h_to_4h.weight,,,,,,,,,,,,,,
