,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained
attention.output.dense,0.7409223377214982,0.7467079006476138,0.5284634346506427,0.13653424205585307,-0.3870489264813871,0.5427056452706513,-0.004866232930232667,0.37623532965647466,0.7461053251587328,0.35441318161332547,0.7028163450500646,0.59771633318896,0.1654558079600138,-0.5183998312285347
attention.self.key,0.6297338485133053,-0.09525736083045246,-0.4176048494511632,-0.010924374162921885,-0.05201476097737044,-0.041470742265732746,-0.34226428566935807,-0.2728946259915299,-0.09530014077550944,-0.02745042690980451,-0.10191222453862195,-0.08769414389102527,-0.04290933047026721,0.4194809334926882
attention.self.query,0.8542604235119621,-0.37197397772841756,-0.7671903658920389,-0.27141024868591634,-0.4337602430078562,-0.3077191447210461,-0.1413908657049071,-0.7019888612495309,-0.3716043057364861,-0.2805836902612421,-0.38447868471571744,0.20394285264495887,-0.4087780042510244,0.7629343910146342
attention.self.value,0.61557226034996,0.7861804620445687,0.38364064815504834,0.5339809037820552,0.16973112751327069,0.7081207257058586,0.006340074072469448,0.21555666754879377,0.786256391662679,0.6416727745039145,0.7371171283131857,0.12437751835697236,-0.023159660671918637,-0.3913735570248309
intermediate.dense.weight,0.4291901069419797,-0.4311629398157977,0.02111150526717318,-0.42459173061414013,-0.3346616909395147,-0.4371727015624492,0.9322313831579296,-0.2925092748772598,-0.43101259765430405,-0.3567138866028361,-0.46200653179869844,-0.014716637386695652,-0.6130050677782523,-0.017731100778276956
output.dense.weight,0.4404937767923184,-0.8846414024068214,0.02462279517615759,-0.8084631386304597,0.6222569914667265,-0.8608651843643256,0.7562433524648173,-0.5525835413585248,-0.8846484012894886,-0.7744908352412472,-0.9046824999773665,0.22153688687523448,-0.8150546359151039,-0.01920988956524977
attention.dense.weight,0.9144593675988341,0.3658903299022433,0.22356726819918854,-0.4230072870698446,-0.16803878038233955,-0.3642193296595625,-0.00864651038650871,0.28535122093086296,-0.2801003714569725,-0.39579229078632877,-0.25787073649494613,-0.2902183024517486,0.21855497217948933,-0.33591673836897595
attention.query_key_value.weight,0.845442879224624,0.24883039772952836,-0.6018990008976776,0.6003162346895786,0.6069322375915118,0.6185943098741047,0.6034345500508189,-0.5517368658207844,0.5081580721749288,0.6093609982117534,0.45738272413420744,-0.3690014980818049,-0.6739371094130273,0.6986212068675605
mlp.dense_4h_to_h.weight,0.9501448845420843,0.7805186999427854,-0.26956804377742216,0.8534789276217638,0.877034238462237,0.8191234605159949,0.2509669225632763,-0.21380954376002806,0.7806474624859494,0.8495114597976072,0.7654053965558606,0.3891995169418369,-0.10117597476081217,0.27283332254980924
mlp.dense_h_to_4h.weight,0.8701955256305028,-0.4551793276992079,-0.2459579919697134,-0.36061092718129845,-0.49949539244342267,-0.39272976632961604,-0.5840389096503844,-0.33972784281281415,-0.4322030883891331,0.0068340196663219666,-0.44910432914359666,-0.20468194781037863,-0.3383618651976237,0.2701907370947675
attention.dense.weight,0.628194359216912,-0.10282331699228764,0.002185753892831613,-0.1250811594075944,0.7072098682322372,-0.12689993909253627,-0.23729312522572993,0.011615404011454042,-0.10291515919760989,-0.1163740976474665,-0.10165446992373618,-0.1336102509017627,-0.008166212712915132,0.009378172213212299
attention.query_key_value.weight,0.7196701585680061,0.6608562773676467,-0.6917645252012542,,,,,,,,,,,
mlp.dense_4h_to_h.weight,0.7942924844441257,0.8231516329341397,0.09652069408680437,,,,,,,,,,,
mlp.dense_h_to_4h.weight,0.7180264771506701,0.24278620312325477,0.0014379016849130344,,,,,,,,,,,
