,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained
attention.output.dense,-0.807241708201642,-0.7628417104967424,-0.6208011073785169,-0.04972158473366975,0.40763836023635713,-0.5048073965390214,0.03286371575404197,-0.47351879203625175,-0.7622939059131763,-0.27647531314574036,-0.7535872948560398,-0.5864183108427771,-0.26147536950617395,0.6109263057760366
attention.self.key,-0.5038124959178751,0.009234861391435,0.46416034275692414,-0.08371031778112875,-0.08980039334264267,-0.045177650066239146,0.34085027212496755,0.3192354600713909,0.00928680263403859,-0.052007565601716994,0.018158988626692518,0.10168489748116118,0.05428454501374613,-0.4670854062352028
attention.self.query,-0.8587758000071747,0.3627545906385376,0.7539646040298955,0.2637002201815062,0.539926375560746,0.29937311802781935,0.18098987314679957,0.7225931278658702,0.3623774631572595,0.26400493084163235,0.37852383638750275,-0.1573510445194325,0.48176237444086467,-0.7495730607263861
attention.self.value,-0.7287651566304736,-0.8446906281056754,-0.4810255189205157,-0.5188254498882987,-0.2261618105978777,-0.7383721068448563,-0.08551553291365802,-0.32567149349950597,-0.8446683978304125,-0.6317972542771084,-0.8176085317858474,-0.17722285055442,-0.09130791107206745,0.4880039695544453
intermediate.dense.weight,-0.44997340935991265,0.46606569741032106,-0.013162665648266361,0.4559798152051555,0.324422050732442,0.4717092101790008,-0.9527419755804564,0.29492497690347397,0.4659402338865756,0.3951373277108567,0.49659292404733657,0.05995464161670999,0.6030923940345623,0.009771297248984845
output.dense.weight,-0.44121802166599944,0.8812909900819917,-0.022254905454947127,0.804894426490499,-0.6185775081821221,0.8574757756485307,-0.7448089708545133,0.5524116917360584,0.8813023379017699,0.7682671743139757,0.9020597210604003,-0.24109733656804228,0.8123007492175626,0.016940033885925354
attention.dense.weight,-0.9359452572721535,-0.4511418127666644,-0.29388404563586706,0.4238293418060154,0.18301517494216657,0.36747275626375575,0.02658425777750929,-0.25069076971261917,0.28377964856722465,0.3936583598704689,0.2644021421037987,0.25288583076646615,-0.1725200749892607,0.31644714255383494
attention.query_key_value.weight,-0.8636707097494074,-0.18979792638102105,0.6220462911756445,-0.6199083694094362,-0.6429701048415751,-0.599666616479398,-0.6394213827423383,0.5963785150493005,-0.46257141263775686,-0.5772438624820491,-0.4079209433649383,0.4403516349893719,0.6716795341580156,-0.7463886932233144
mlp.dense_4h_to_h.weight,-0.9511530339661415,-0.7848635306508727,0.2670655663083312,-0.857779350039095,-0.8668181894640444,-0.8234146499902681,-0.24056817041418044,0.21201750620682047,-0.7849925316071843,-0.8535303959915411,-0.7696525507581489,-0.37589033933132243,0.10027878193761354,-0.27030837408135255
mlp.dense_h_to_4h.weight,-0.8619983471450585,0.42626465993063395,0.25331592898041744,0.3271673998597305,0.4609143644616701,0.3680399370868479,0.5437285062554058,0.3402921012349547,0.4158025590519757,-0.013349138167823182,0.43148376453081294,0.21726449818922267,0.31965772306717,-0.27824395249622075
attention.dense.weight,-0.8845660548708687,-0.14504887305372532,-0.226855449631646,-0.08643925126572266,-0.4134639869913975,-0.10938173468681844,0.4734738351798173,-0.21152093530494306,-0.14491122834053968,-0.10567215166038657,-0.15075313003693117,-0.03449557373115156,-0.07881211314208461,0.2190961050439936
attention.query_key_value.weight,-0.8435248376251974,-0.4802600120370364,0.761039077646745,,,,,,,,,,,
mlp.dense_4h_to_h.weight,-0.7714678617695636,-0.8260940019083383,-0.11027917203778978,,,,,,,,,,,
mlp.dense_h_to_4h.weight,-0.6024896144441004,-0.12844454983130654,-0.03404504361161359,,,,,,,,,,,
