,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained
,,,,,,,,,,,,,,
attention.self.key,-0.594783863,-0.054168662,0.328691256,-0.105102758,-0.084897264,-0.058482751,0.362590112,0.430384884,-0.054235232,-0.218934687,-0.015705283,0.253961643,0.374876398,-0.330163477
attention.self.query,-0.774795965,0.214741847,0.535681872,0.170578424,0.244017384,0.208796928,0.130671512,0.630512099,0.214658343,0.062828694,0.246319053,-0.235223908,0.568384905,-0.529493786
attention.self.value,-0.771747467,-0.604602735,-0.6678392,-0.288736395,-0.276459887,-0.555240418,-0.012937117,-0.474547456,-0.604699188,-0.089234922,-0.716250652,-0.308196779,-0.346059835,0.675542464
intermediate.dense.weight,-0.290116359,0.235082183,-0.117455662,0.264069308,0.388395096,0.262548156,-0.790661196,0.261014024,0.234935479,0.169080609,0.26333333,-0.542857766,0.511222279,0.118258622
output.dense.weight,-0.580418145,0.824938309,-0.092106954,0.794010882,-0.754107243,0.838631534,-0.702629026,0.470425498,0.825036628,0.727972547,0.85289376,0.074166741,0.648133572,0.08727249
,,,,,,,,,,,,,,
attention.query_key_value.weight,-0.954462009,-0.820809002,0.765618813,-0.94450685,-0.895428647,-0.913546571,-0.90162454,0.831842633,-0.820884635,-0.917587843,-0.759422025,-0.25241396,0.944727875,-0.778975499
mlp.dense_4h_to_h.weight,-0.897420959,-0.847426728,0.041527276,-0.866181623,-0.776773292,-0.852980078,-0.061078339,-0.016369292,-0.847419649,-0.841061223,-0.840109593,0.071147115,-0.085807192,-0.042377447
mlp.dense_h_to_4h.weight,-0.913575044,0.507221985,0.077194146,0.528331263,0.568618285,0.573556936,0.67813242,0.44563272,0.507361352,-0.476868625,0.575597319,0.180334028,0.647207684,-0.08285329
,,,,,,,,,,,,,,
attention.query_key_value.weight,-0.91951984,-0.514873106,0.841500983,,,,,,,,,,,
mlp.dense_4h_to_h.weight,-0.944567564,-0.826362478,-0.078325434,-0.839070347,-0.755770743,-0.8321371,-0.761275427,-0.159462526,-0.826394415,-0.822540912,-0.820048288,-0.055299144,-0.21845203,0.071566787
mlp.dense_h_to_4h.weight,-0.790363415,-0.142711335,-0.036753633,-0.118940979,0.24610728,-0.152856223,0.482663904,0.050358029,-0.143042246,-0.328635885,-0.113435403,0.0071639,0.145691324,0.029487357
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
attention.output.dense,-0.86064129,-0.524942713,-0.743083942,0.039027242,0.287610011,-0.451705625,0.0901041,-0.57149514,-0.524909871,0.152924826,-0.749874464,-0.284913997,-0.452488099,0.739818353
attention.dense.weight,-0.908928748,0.486742411,-0.244634497,0.575036724,0.254465164,0.510044447,0.044618474,-0.28934455,0.486902906,0.617306743,0.443746776,0.560996452,-0.316694281,0.255799055
attention.dense.weight,-0.868925994,-0.022847028,-0.096364734,0.003480679,-0.509765828,-0.010531626,0.388308929,-0.145143338,-0.022870824,0.030953967,-0.033950858,-0.452029506,-0.125787234,0.08547432
,-2.638496033,-0.06104733,-1.084083173,0.617544645,0.032309347,0.047807196,0.523031503,-1.005983029,-0.060877789,0.801185536,-0.340078547,-0.175947052,-0.894969614,1.081091728
